Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
qcp-10-67-0,383,383,0,1,383,0,0,0,15,95,1098,0,9,20,67,0.0552494,4.8,2,5,8.066666666666666,0.26666666666666666,0.13333333333333333,0,0.174130905,satisfy,0
qcp-10-67-1,345,345,0,1,345,0,0,0,30,90,1379,0,10,20,67,0.0463532,2.4,2,3.7666666666666666,6.733333333333333,0.43333333333333335,0.36666666666666664,0,0.142957621,satisfy,0
qcp-10-67-10,,,,,,,0,1,43,158,1766,0,18,20,67,0.0462533,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.149174533,satisfy,0
qcp-10-67-11,,,,,,,0,1,221,616,7488,0,96,20,67,0.0479845,2.8,2.7,4.5233644859813085,8.754545454545454,0.42727272727272725,0.2772727272727273,6,0.157456802,satisfy,0
qcp-10-67-12,,,,,,,0,1,184,601,6495,0,60,20,67,0.0494178,3.2841530054644807,2.3224043715846996,3.9775280898876404,7.939890710382514,0.24043715846994534,0.31693989071038253,5,0.265964501,satisfy,0
qcp-10-67-13,,,,,,,0,1,11,26,661,0,3,20,67,0.0494574,2.6,2,2.8,3.7,0.7,0.2,5,0.102213556,satisfy,0
qcp-10-67-14,,,,,,,0,1,18,79,1171,0,10,20,67,0.0464251,4.647058823529412,2,1.9230769230769231,3.6470588235294117,0.35294117647058826,0.23529411764705882,4,0.135129912,satisfy,0
qcp-10-67-2,69,69,0,1,69,0,0,0,2,16,623,0,4,20,67,0.0457875,1,2,3.5,8,0,0.5,0,0.193236143,satisfy,0
qcp-10-67-3,758,758,0,1,758,0,0,0,74,156,2743,0,20,20,67,0.0472634,1.864864864864865,3.0135135135135136,5.027027027027027,12.297297297297296,0.40540540540540543,0.32432432432432434,0,0.12976641,satisfy,0
qcp-10-67-4,505,505,0,1,505,0,0,0,27,78,1294,0,7,20,67,0.0469232,2.1481481481481484,2.5185185185185186,4.962962962962963,8.88888888888889,0.3333333333333333,0.4074074074074074,0,0.239416444,satisfy,0
qcp-10-67-5,0,0,0,1,0,0,0,0,0,20,576,0,3,20,67,0.048044,0,0,0,0,0,0,0,0.15308544,satisfy,0
qcp-10-67-6,347,347,0,1,347,0,0,0,19,55,968,0,5,20,67,0.0479415,1.4736842105263157,2.9473684210526314,4.894736842105263,9.473684210526315,0.3684210526315789,0.47368421052631576,0,0.281964384,satisfy,0
qcp-10-67-7,495,495,0,1,495,0,0,0,51,159,1998,0,21,20,67,0.0467374,2.607843137254902,2.2745098039215685,3.06,5.901960784313726,0.21568627450980393,0.43137254901960786,1,0.139914231,satisfy,0
qcp-10-67-8,43,43,0,1,43,0,0,0,1,23,576,0,4,20,67,0.0468483,1,2,5,7,0,0,0,0.22593358,satisfy,0
qcp-10-67-9,263,263,0,1,263,0,0,0,11,41,765,0,6,20,67,0.0465676,1.9090909090909092,2,4,7.7272727272727275,0.09090909090909091,0.5454545454545454,0,0.313932038,satisfy,0
qcp-15-120-0,2019,2019,0,1,2019,0,0,0,59,190,4711,0,46,30,120,0.0493951,2.6779661016949152,2.2033898305084745,9.135593220338983,19.440677966101696,0.4406779661016949,0.4745762711864407,0,7.298260256,satisfy,0
qcp-15-120-1,2724,2724,0,1,2724,0,0,0,833,1232,47440,0,471,30,120,0.0538217,1.4597839135654262,4.518607442977191,9.495798319327731,32.168067226890756,1.1296518607442978,0.6722689075630253,0,4.277789205,satisfy,0
qcp-15-120-10,,,,,,,0,1,7836,11996,494970,0,5525,30,120,0.0490238,1.5310784939374602,4.733120612635609,5.674584929757343,21.973452456924058,3.565028717294193,0.8376515634971282,5,7.262998816,satisfy,0
qcp-15-120-11,,,,,,,0,1,47,149,3590,0,32,30,120,0.0526274,3.239130434782609,2.4782608695652173,3.488372093023256,7.413043478260869,0.5652173913043478,0.34782608695652173,3,2.913215761,satisfy,0
qcp-15-120-12,,,,,,,0,1,2444,4041,131098,0,1341,30,120,0.047787,1.6541137945149407,3.997134670487106,6.448912597455888,21.70282439623414,2.170282439623414,0.686451084731887,6,7.445032644,satisfy,0
qcp-15-120-13,,,,,,,0,1,3316,4734,194252,0,1786,30,120,0.0492658,1.428054298642534,4.164102564102564,5.267009374055035,22.30920060331825,2.6868778280542984,0.6956259426847662,8,4.106957688,satisfy,0
qcp-15-120-14,,,,,,,0,1,100,309,6196,0,67,30,120,0.0473382,3.121212121212121,2.595959595959596,4.1875,8.383838383838384,0.6868686868686869,0.494949494949495,3,6.235702584,satisfy,0
qcp-15-120-2,1282,1282,0,1,1282,0,0,0,60,175,4543,0,39,30,120,0.0530575,2.55,2.15,6.783333333333333,15.8,0.2833333333333333,0.4666666666666667,0,4.690285865,satisfy,0
qcp-15-120-3,2917,2917,0,1,2917,0,0,0,1586,2535,86106,0,915,30,120,0.0490911,1.5901639344262295,4.438839848675914,6.763556116015132,27.679697351828498,1.7181588902900378,0.9136191677175284,0,4.244067167,satisfy,0
qcp-15-120-4,2943,2943,0,1,2943,0,0,0,1189,1840,71211,0,707,30,120,0.0517688,1.5332211942809084,3.875525651808242,7.366694701429773,25.30950378469302,1.9865433137089992,1.0462573591253155,0,5.153420851,satisfy,0
qcp-15-120-5,3279,3279,0,1,3279,0,0,0,3564,5245,210914,0,2192,30,120,0.0493344,1.4668911335578003,4.2912457912457915,5.149031714847039,20.784231200897867,1.8305274971941639,0.5867003367003367,1,4.723050713,satisfy,0
qcp-15-120-6,2794,2794,0,1,2794,0,0,0,615,1040,34757,0,338,30,120,0.0486543,1.6536585365853658,3.7219512195121953,8.601626016260163,25.13658536585366,1.1300813008130082,0.697560975609756,0,5.304400688,satisfy,0
qcp-15-120-7,,,,,,,1,0,,,,,,30,120,0.0638116,,,,,,,,4.784136217,satisfy,0
qcp-15-120-8,3198,3198,0,1,3198,0,0,0,4278,6154,268893,0,2914,30,120,0.0497707,1.4336138382421693,5.369097709209911,10.203833567087424,36.66129032258065,3.033426834969612,0.9492753623188406,0,8.217944794,satisfy,0
qcp-15-120-9,3000,3000,0,1,3000,0,0,0,5515,7552,356657,0,2911,30,120,0.0531929,1.3675430643699003,4.666364460562104,7.364460562103354,28.711332728921125,3.071985494106981,0.8235720761559383,0,7.047665911,satisfy,0
qcp-20-187-0,,,,,,,1,0,,,,,,40,187,0.0534289,,,,,,,,,satisfy,0
qcp-20-187-1,,,,,,,1,0,,,,,,40,187,0.166525,,,,,,,,,satisfy,0
qcp-20-187-10,,,,,,,0,0,,,,,,40,187,0.475801,,,,,,,,,satisfy,0
qcp-20-187-11,,,,,,,1,0,,,,,,40,187,0.157484,,,,,,,,,satisfy,0
qcp-20-187-12,,,,,,,1,0,,,,,,40,187,0.198125,,,,,,,,,satisfy,0
qcp-20-187-13,,,,,,,1,0,,,,,,40,187,0.17111,,,,,,,,,satisfy,0
qcp-20-187-14,,,,,,,1,0,,,,,,40,187,0.16948,,,,,,,,,satisfy,0
qcp-20-187-2,5788,5788,0,1,5788,0,0,0,37682,51060,3493292,0,48684,40,187,0.165845,1.354625550660793,6.962050846558038,8.905066482656121,44.52221219680484,6.659625285282098,1.479937370627886,3,954.656669458,satisfy,0
qcp-20-187-3,,,,,,,1,0,,,,,,40,187,0.17452,,,,,,,,,satisfy,0
qcp-20-187-4,,,,,,,1,0,,,,,,40,187,0.185934,,,,,,,,,satisfy,0
qcp-20-187-5,,,,,,,1,0,,,,,,40,187,0.158202,,,,,,,,,satisfy,0
qcp-20-187-6,,,,,,,1,0,,,,,,40,187,0.201405,,,,,,,,,satisfy,0
qcp-20-187-7,6087,6087,0,1,6087,0,0,0,77209,100793,7325173,0,79177,40,187,0.178089,1.3052493880247122,8.550531673768601,14.040359034802544,56.109300729189606,6.987125853203642,1.6075846080120193,2,508.304933247,satisfy,0
qcp-20-187-8,,,,,,,1,0,,,,,,40,187,0.154179,,,,,,,,,satisfy,0
qcp-20-187-9,,,,,,,1,0,,,,,,40,187,0.139922,,,,,,,,,satisfy,0
qcp-25-264-0,,,,,,,1,0,,,,,,50,264,0.159641,,,,,,,,,satisfy,0
qcp-25-264-1,,,,,,,1,0,,,,,,50,264,0.137944,,,,,,,,,satisfy,0
qcp-25-264-10,,,,,,,1,0,,,,,,50,264,0.139672,,,,,,,,,satisfy,0
qcp-25-264-11,,,,,,,1,0,,,,,,50,264,0.152088,,,,,,,,,satisfy,0
qcp-25-264-12,,,,,,,1,0,,,,,,50,264,0.179316,,,,,,,,,satisfy,0
qcp-25-264-13,,,,,,,1,0,,,,,,50,264,0.151444,,,,,,,,,satisfy,0
qcp-25-264-14,,,,,,,1,0,,,,,,50,264,0.139171,,,,,,,,,satisfy,0
qcp-25-264-2,,,,,,,1,0,,,,,,50,264,0.139864,,,,,,,,,satisfy,0
qcp-25-264-3,,,,,,,1,0,,,,,,50,264,0.130793,,,,,,,,,satisfy,0
qcp-25-264-4,,,,,,,1,0,,,,,,50,264,0.135025,,,,,,,,,satisfy,0
qcp-25-264-5,,,,,,,1,0,,,,,,50,264,0.130731,,,,,,,,,satisfy,0
qcp-25-264-6,,,,,,,1,0,,,,,,50,264,0.145257,,,,,,,,,satisfy,0
qcp-25-264-7,,,,,,,1,0,,,,,,50,264,0.146393,,,,,,,,,satisfy,0
qcp-25-264-8,,,,,,,1,0,,,,,,50,264,0.135531,,,,,,,,,satisfy,0
qcp-25-264-9,,,,,,,1,0,,,,,,50,264,0.168091,,,,,,,,,satisfy,0
